10000,0,2,1008,1002,1026,"0,0,0,0,3",6,1,6,2,3,,,1002/1003,"1,1,3"
10001,0,2,1011,1002,1015,"0,1,0,0,1",6,0,4,6,3,1006,,1002,"1,1,3"
10002,0,2,1022,1015,1008,"0,0,0,0,3",5,1,6,4,3,,1002,,"1,1,2"
10005,0,2,1016,1009,1016,"0,1,0,0,1",4,0,8,0,11,1003,1002,1003,"1,1,1"
10007,0,2,1006,1014,1027,"0,0,0,1,1",5,1,4,7,3,,1002,1006,"1,1,1"
10008,0,1,1007,1002,1019,"0,0,0,1,1",8,1,3,3,2,1002,,,"1,3,4"
10009,0,2,1010,1021,1017,"0,0,0,1,1",5,1,6,3,5,,1002,1002+1005,"1,1,2"
10010,0,2,1007,1017,1020,"0,0,1,0,0",6,1,4,4,5,1002,1002+1005,,"1,1,3"
10011,0,2,1025,1002,1005,"0,0,1,0,0",7,1,4,2,5,1002/1003,,1001,"1,1,3"
10012,0,2,1010,1014,1003,"0,1,0,0,1",6,0,6,2,5,,1002,,"1,1,2"
10013,0,1,1007,1008,1012,"0,1,0,0,1",6,0,4,4,7,1002,,1001,"1,1,1"
10014,0,2,1006,1025,1010,"0,0,1,0,0",6,1,5,2,6,,1002/1003,,"1,1,1"
10015,0,2,1005,1015,1025,"0,0,1,0,0",5,1,6,2,7,1001,1002,1002/1003,"1,1,1"
10017,0,2,1005,1015,1013,"0,1,0,0,1",5,0,7,1,8,1001,1002,1003/1004,"1,1,1"
10019,0,2,1013,1021,1012,"0,0,1,0,0",5,1,6,2,7,1003/1004,1002,1001,"1,1,2"
10020,0,2,1003,1026,1004,"0,0,1,0,0",7,1,4,2,5,,1002/1003,,"1,2,2"
10021,0,2,1025,1012,1017,"0,0,1,0,0",4,1,5,6,6,1002/1003,1001,1002+1005,"1,1,1"
10022,0,2,1015,1015,1024,"0,0,0,1,1",4,1,6,5,5,1002,1002,1005,"1,1,1"
10023,0,2,1011,1002,1027,"0,0,0,1,1",6,1,2,9,1,1006,,1006,"1,1,3"
10024,0,1,1023,1010,1002,"0,0,0,1,1",7,1,5,1,4,,,,"1,2,3"
10025,0,2,1015,1027,1017,"0,0,0,0,3",3,1,6,8,3,1002,1006,1002+1005,"1,1,1"
10027,0,2,1013,1015,1019,"0,0,0,0,3",5,1,7,2,4,1003/1004,1002,,"1,1,4"
10030,0,1,1012,1021,1008,"0,0,1,0,0",6,1,4,3,7,1001,1002,,"1,1,2"
10031,0,3,1021,1001,1007,"0,0,0,1,1",8,1,4,1,3,1002,,1002,"1,2,5"
10032,0,1,1011,1010,1007,"0,1,0,0,1",6,0,4,5,5,1006,,1002,"1,1,1"
10033,0,2,1022,1016,1003,"0,0,1,0,0",6,1,5,2,6,,1003,,"1,2,2"
10035,0,2,1014,1015,1024,"0,0,0,0,3",4,1,6,6,3,1002,1002,1005,"1,1,1"
10037,0,2,1016,1009,1013,"0,1,0,0,1",4,0,9,0,8,1003,1002,1003/1004,"1,1,1"
10038,0,2,1010,1015,1017,"0,1,0,0,1",4,0,7,4,6,,1002,1002+1005,"1,1,1"
10040,0,1,1002,1007,1009,"0,1,0,0,1",7,0,5,2,4,,1002,1002,"1,1,3"
10042,0,2,1017,1012,1013,"0,1,0,0,1",4,0,6,5,7,1002+1005,1001,1003/1004,"1,1,1"
10043,0,2,1015,1002,1004,"0,1,0,0,1",7,0,4,4,3,1002,,,"1,2,3"
10048,0,2,1015,1004,1025,"0,0,0,0,3",5,1,6,4,3,1002,,1002/1003,"1,1,2"
10050,0,1,1022,1006,1008,"0,0,1,0,0",7,1,3,4,4,,,,"1,1,2"
10051,0,2,1008,1012,1025,"0,0,1,0,0",5,1,5,4,6,,1001,1002/1003,"1,1,1"
10052,0,2,1011,1015,1002,"0,1,0,0,1",6,0,4,6,3,1006,1002,,"1,1,3"
10053,0,2,1027,1012,1013,"0,0,1,0,0",4,1,5,6,6,1006,1001,1003/1004,"1,1,1"
